1785125778060221468 cluster=intermediate_queue_0 done=194 window_fps=19.21
1785125780061909083 cluster=intermediate_queue_1 done=47 window_fps=4.48
1785125782895516195 cluster=intermediate_queue_0 done=195 window_fps=16.81
1785125783109570528 cluster=intermediate_queue_1 done=48 window_fps=4.46
1785125783175298726 cluster=intermediate_queue_0 done=196 window_fps=17.10
1785125785258197221 cluster=intermediate_queue_0 done=197 window_fps=17.38
1785125785949143557 cluster=intermediate_queue_0 done=198 window_fps=17.45
1785125787285076679 cluster=intermediate_queue_0 done=199 window_fps=18.99
1785125789292166186 cluster=intermediate_queue_0 done=200 window_fps=19.01
1785125790809068970 cluster=intermediate_queue_0 done=201 window_fps=19.44
1785125794056191862 cluster=intermediate_queue_0 done=202 window_fps=17.32
1785125794420399874 cluster=intermediate_queue_0 done=203 window_fps=18.29
1785125795165922048 cluster=intermediate_queue_1 done=49 window_fps=4.59
1785125796480437170 cluster=intermediate_queue_0 done=204 window_fps=18.43
1785125798501926495 cluster=intermediate_queue_0 done=205 window_fps=17.27
1785125801128570357 cluster=intermediate_queue_0 done=206 window_fps=16.76
1785125801241912321 cluster=intermediate_queue_0 done=207 window_fps=17.97
1785125802828730035 cluster=intermediate_queue_1 done=50 window_fps=4.45
1785125804252826825 cluster=intermediate_queue_0 done=208 window_fps=17.82
1785125804327194990 cluster=intermediate_queue_0 done=209 window_fps=18.27
1785125805359102810 cluster=intermediate_queue_1 done=51 window_fps=4.45
1785125806264173646 cluster=intermediate_queue_0 done=210 window_fps=20.54
1785125808291280587 cluster=intermediate_queue_0 done=211 window_fps=19.11
1785125810302258358 cluster=intermediate_queue_0 done=212 window_fps=19.17
1785125812333057459 cluster=intermediate_queue_0 done=213 window_fps=18.19
1785125814540101342 cluster=intermediate_queue_0 done=214 window_fps=17.61
1785125816120280562 cluster=intermediate_queue_1 done=52 window_fps=4.60
1785125816614402786 cluster=intermediate_queue_0 done=215 window_fps=17.57
1785125817180373010 cluster=intermediate_queue_0 done=216 window_fps=18.20
1785125819200448215 cluster=intermediate_queue_0 done=217 window_fps=19.09
