1785128320725191402 cluster=intermediate_queue_0 done=259 window_fps=18.71
1785128322902467833 cluster=intermediate_queue_1 done=111 window_fps=9.12
1785128323301664512 cluster=intermediate_queue_0 done=260 window_fps=17.59
1785128324430532667 cluster=intermediate_queue_0 done=261 window_fps=18.56
1785128326204760470 cluster=intermediate_queue_1 done=112 window_fps=9.14
1785128327026142988 cluster=intermediate_queue_0 done=262 window_fps=17.64
1785128328395827613 cluster=intermediate_queue_0 done=263 window_fps=18.21
1785128329809819638 cluster=intermediate_queue_1 done=113 window_fps=9.13
1785128330350836745 cluster=intermediate_queue_0 done=264 window_fps=17.70
1785128331663993511 cluster=intermediate_queue_0 done=265 window_fps=18.13
1785128333346835447 cluster=intermediate_queue_1 done=114 window_fps=9.19
1785128334343790655 cluster=intermediate_queue_0 done=266 window_fps=17.35
1785128334920177597 cluster=intermediate_queue_0 done=267 window_fps=18.26
1785128336770632766 cluster=intermediate_queue_1 done=115 window_fps=9.18
1785128337904609925 cluster=intermediate_queue_0 done=268 window_fps=17.28
1785128338386361714 cluster=intermediate_queue_0 done=269 window_fps=18.40
1785128340103194541 cluster=intermediate_queue_1 done=116 window_fps=9.20
1785128342064455429 cluster=intermediate_queue_0 done=270 window_fps=16.65
1785128342152004449 cluster=intermediate_queue_0 done=271 window_fps=18.26
1785128343357898330 cluster=intermediate_queue_1 done=117 window_fps=9.26
1785128345739185276 cluster=intermediate_queue_0 done=272 window_fps=16.77
1785128345952303695 cluster=intermediate_queue_0 done=273 window_fps=18.36
1785128346627235153 cluster=intermediate_queue_1 done=118 window_fps=9.36
1785128349548138186 cluster=intermediate_queue_0 done=274 window_fps=16.65
1785128349554604658 cluster=intermediate_queue_0 done=275 window_fps=18.28
1785128349712250099 cluster=intermediate_queue_1 done=119 window_fps=9.40
1785128353182335954 cluster=intermediate_queue_0 done=276 window_fps=16.69
1785128353191707606 cluster=intermediate_queue_1 done=120 window_fps=9.45
1785128353269700600 cluster=intermediate_queue_0 done=277 window_fps=18.29
1785128356395696276 cluster=intermediate_queue_0 done=278 window_fps=17.14
1785128357009867918 cluster=intermediate_queue_1 done=121 window_fps=9.41
1785128357270310266 cluster=intermediate_queue_0 done=279 window_fps=17.83
1785128359544311391 cluster=intermediate_queue_0 done=280 window_fps=17.22
1785128360681785837 cluster=intermediate_queue_1 done=122 window_fps=9.37
1785128360880241120 cluster=intermediate_queue_0 done=281 window_fps=18.09
1785128363041637709 cluster=intermediate_queue_0 done=282 window_fps=17.07
1785128364267892871 cluster=intermediate_queue_1 done=123 window_fps=9.40
1785128364596678289 cluster=intermediate_queue_0 done=283 window_fps=17.98
1785128366349769353 cluster=intermediate_queue_0 done=284 window_fps=17.17
